LOCAL_DATE_CREATED,CAMPUS,LOCATION_LATITUDE,LOCATION_LONGITUDE,BUILDING_ID,BUILDING_NAME,LOCATION_NUMBER,LOCATION_DESCRIPTION,DEVICE_TYPE,BATTERY_VOLTAGE,TRANSITION_DATETIME,TPS_STATUS,LOCATION_DESCRIPTION_STATUS,NODE_STATUS,TERM_TYPE_SID,SUBTYPE_DESCRIPTION,TECH
2025-07-29 17:50:09,UNKNOWN,,,-2,Could not identify building,991111111,TEST DELETME,Unknown,Not reporting,,ACTIVE,ACTIVE,UNKNOWN,2110,Squadron Master (V1000),VertX
2025-07-29 17:51:38,UNKNOWN,,,-2,Could not identify building,991111112,TEST DELETME,Unknown,Not reporting,,ACTIVE,ACTIVE,UNKNOWN,2110,Squadron Master (V1000),VertX
2025-07-29 17:52:08,UNKNOWN,,,-2,Could not identify building,991111113,TEST DELETME,Unknown,Not reporting,,ACTIVE,ACTIVE,UNKNOWN,2110,Squadron Master (V1000),VertX
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000068,G-126-2-LAB-NDEB-INT,NDEB,Normal,2023-10-27 14:03:00,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2006-06-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,2066,G-Eng. Center4 Panel #3-V100,V100,Not reporting,,ACTIVE,ACTIVE,ONLINE,2111,Squadron 2 Door Connector (V100),VertX
2006-02-13 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,3106,G-Engineering 4th. Fl. Master-V1000,V1000,Not reporting,,ACTIVE,ACTIVE,ONLINE,2110,Squadron Master (V1000),VertX
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000039,G-MEB-101-GWE-M1-SIO-35,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000040,G-MEB-101-LAB-NDEB-INT,NDEB,Normal,2025-05-06 18:03:52,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000013,G-MEB-102-BD-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-03-09 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100002,G-MEB-102-FD-LAB-NDEB-INT,NDEB,Normal,2024-03-09 11:21:35,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
